City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Lavrentiya,RU,2022-09-27 23:32:40,65.5833,-171.0,39.85,75,97,11.61
100,Silopi,TR,2022-09-27 23:32:41,37.2497,42.4694,70.97,20,0,2.95
101,Vredendal,ZA,2022-09-27 23:32:41,-31.6683,18.5012,53.29,66,63,3.87
102,Vavuniya,LK,2022-09-27 23:32:42,8.7514,80.4971,75.0,89,48,6.58
103,Tshikapa,CD,2022-09-27 23:32:42,-6.4167,20.8,70.11,95,100,4.41
104,Umm Lajj,SA,2022-09-27 23:32:00,25.0213,37.2685,89.4,30,3,6.51
105,Torbay,CA,2022-09-27 23:30:18,47.6666,-52.7314,66.97,90,75,12.66
106,Port Hardy,CA,2022-09-27 23:30:32,50.6996,-127.4199,57.38,88,75,3.44
107,Hays,US,2022-09-27 23:32:43,30.0502,-98.0336,87.94,24,0,7.0
108,Chokurdakh,RU,2022-09-27 23:32:44,70.6333,147.9167,26.22,69,97,9.13
109,Darhan,MN,2022-09-27 23:32:44,49.4867,105.9228,43.38,68,100,2.53
110,Talnakh,RU,2022-09-27 23:31:23,69.4865,88.3972,18.36,82,58,4.5
111,Clyde River,CA,2022-09-27 23:32:45,70.4692,-68.5914,30.43,93,20,6.91
112,Bethel,US,2022-09-27 23:31:25,41.3712,-73.414,61.75,74,0,3.44
113,Bonavista,CA,2022-09-27 23:32:46,48.6499,-53.1147,62.2,90,100,16.6
114,Pacific Grove,US,2022-09-27 23:30:04,36.6177,-121.9166,83.39,79,0,11.01
115,Kaitangata,NZ,2022-09-27 23:32:46,-46.2817,169.8464,60.19,61,36,7.43
116,Pangkalanbuun,ID,2022-09-27 23:32:47,-2.6833,111.6167,77.65,88,100,2.57
117,Saint-Augustin,CA,2022-09-27 23:32:47,51.226,-58.6502,55.06,96,91,2.93
118,Chapais,CA,2022-09-27 23:32:48,49.7834,-74.8492,49.78,88,100,4.34
119,Tiksi,RU,2022-09-27 23:32:49,71.6872,128.8694,32.04,89,100,20.49
120,Saint George,US,2022-09-27 23:32:49,37.1041,-113.5841,90.25,27,0,17.27
121,Dudinka,RU,2022-09-27 23:32:50,69.4058,86.1778,20.5,88,64,6.06
122,Cidreira,BR,2022-09-27 23:32:50,-30.1811,-50.2056,60.46,87,100,10.94
123,Ponta Do Sol,PT,2022-09-27 23:32:51,32.6667,-17.1,70.43,76,95,5.64
124,San Jose,US,2022-09-27 23:31:48,37.3394,-121.895,83.7,58,40,12.66
125,New Norfolk,AU,2022-09-27 23:32:52,-42.7826,147.0587,55.92,84,100,1.14
126,Pocone,BR,2022-09-27 23:32:52,-16.2567,-56.6228,78.82,71,79,3.02
127,Coquimbo,CL,2022-09-27 23:32:53,-29.9533,-71.3436,56.93,82,75,6.91
128,Port Blair,IN,2022-09-27 23:32:54,11.6667,92.75,78.84,89,75,1.14
129,Rogatica,BA,2022-09-27 23:32:54,43.8008,19.0025,47.91,97,30,1.66
130,Makaryev,RU,2022-09-27 23:32:55,57.8797,43.8069,43.11,91,79,13.11
131,Tasiilaq,GL,2022-09-27 23:32:55,65.6145,-37.6368,35.76,99,100,3.0
132,Kirakira,SB,2022-09-27 23:32:56,-10.4544,161.9205,84.09,64,64,8.32
133,Airai,TL,2022-09-27 23:32:56,-8.9266,125.4092,69.03,70,100,0.6
134,Luderitz,NA,2022-09-27 23:32:57,-26.6481,15.1594,56.07,63,1,10.38
135,Pevek,RU,2022-09-27 23:32:57,69.7008,170.3133,29.17,74,63,5.17
136,Hargeysa,SO,2022-09-27 23:32:58,9.56,44.065,73.22,55,32,10.13
137,Yellowknife,CA,2022-09-27 23:33:59,62.456,-114.3525,72.12,43,75,11.5
138,Cranbrook,CA,2022-09-27 23:30:06,49.4999,-115.7688,80.44,22,20,4.61
