City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
121,Severo-Kurilsk,RU,50.6789,156.125,44.6,87,100,13.98,overcast clouds
122,Belmonte,BR,-15.8631,-38.8828,77.56,71,71,10.07,broken clouds
123,Ahipara,NZ,-35.1667,173.1667,58.28,96,86,7.14,light rain
124,Kutum,SD,14.2,24.6667,87.96,19,29,5.55,scattered clouds
125,Ivanivka,UA,46.7208,34.553,71.22,52,65,7.92,broken clouds
126,Progreso,MX,21.2833,-89.6667,86.11,49,95,6.17,overcast clouds
127,Ciudad Bolivar,VE,8.1222,-63.5497,92.8,48,97,7.76,overcast clouds
128,Ozinki,RU,51.1786,49.6769,65.1,52,96,9.6,overcast clouds
129,Mar Del Plata,AR,-38.0023,-57.5575,69.82,61,0,7.0,clear sky
130,Movileni,RO,44.3667,24.65,67.14,71,100,11.61,overcast clouds
131,Bethel,US,41.3712,-73.414,58.05,94,100,9.98,overcast clouds
132,Waipawa,NZ,-41.4122,175.5153,47.16,96,100,13.96,overcast clouds
133,Lasa,IT,46.6166,10.7002,54.36,92,93,4.41,overcast clouds
134,Alofi,NU,-19.0595,-169.9187,69.69,88,99,19.8,overcast clouds
135,Jiuquan,CN,39.7432,98.5174,47.03,25,54,11.3,broken clouds
136,Haines Junction,CA,60.7522,-137.5108,39.15,93,81,8.05,broken clouds
137,Abadiania,BR,-16.2042,-48.7069,86.76,29,74,1.54,broken clouds
138,Durant,US,33.994,-96.3708,79.48,28,0,0.0,clear sky
139,Port Hardy,CA,50.6996,-127.4199,48.38,100,100,2.3,fog
140,Jalu,LY,29.0331,21.5482,95.54,14,0,10.49,clear sky
141,Nantucket,US,41.2835,-70.0995,62.71,76,100,18.41,mist
142,Harper,LR,4.375,-7.7169,77.41,86,76,11.79,light rain
143,Manggar,ID,-2.8833,108.2667,79.2,82,78,1.92,broken clouds
144,Konde,TZ,-4.95,39.75,74.77,76,14,11.25,few clouds
145,Kaeo,NZ,-35.1,173.7833,57.33,97,82,6.17,broken clouds
146,Tiksi,RU,71.6872,128.8694,15.75,93,88,11.61,overcast clouds
147,Manzhouli,CN,49.6,117.4333,39.56,61,100,19.55,overcast clouds
148,Yellowknife,CA,62.456,-114.3525,52.32,100,75,5.75,broken clouds
149,Abu Kamal,SY,34.4506,40.9171,86.99,15,0,8.08,clear sky
150,Kavarna,BG,43.4333,28.3333,69.35,88,91,6.78,overcast clouds
151,Ponta Do Sol,PT,32.6667,-17.1,74.03,67,81,2.62,broken clouds
152,Baykit,RU,61.67,96.37,28.13,85,100,3.2,overcast clouds
153,Norman Wells,CA,65.282,-126.8329,53.64,58,100,18.41,light rain
154,Burg,DE,51.8333,14.15,52.77,90,100,14.54,overcast clouds
155,Erenhot,CN,43.6475,111.9767,62.04,45,19,9.75,few clouds
156,Souillac,MU,-20.5167,57.5167,70.18,83,75,6.91,broken clouds
157,Altamira,BR,-3.2033,-52.2064,91.49,58,75,10.36,broken clouds
158,Atuona,PF,-9.8,-139.0333,76.03,75,52,15.73,broken clouds
159,Armidale,AU,-30.5167,151.65,42.55,98,100,5.32,overcast clouds
160,Graaff-Reinet,ZA,-32.2522,24.5308,64.92,59,82,6.93,broken clouds
161,State College,US,40.7934,-77.86,57.38,72,100,6.91,overcast clouds
162,Bad Wildungen,DE,51.1196,9.1248,57.9,76,75,8.05,broken clouds
163,Innisfail,AU,-17.5333,146.0333,68.61,75,65,3.67,broken clouds
164,Rovaniemi,FI,66.5,25.7167,40.41,87,20,5.75,few clouds
165,Kavaratti,IN,10.5669,72.642,81.59,76,100,16.75,overcast clouds
166,Komsomolskiy,UZ,40.4272,71.7189,65.12,36,98,4.61,overcast clouds
167,Severodvinsk,RU,64.5635,39.8302,44.71,91,77,5.41,broken clouds
168,Nanortalik,GL,60.1432,-45.2371,40.21,83,99,4.43,overcast clouds
169,Rodrigues Alves,BR,-7.738,-72.6509,86.2,38,41,3.56,scattered clouds
170,Port Elizabeth,ZA,-33.918,25.5701,61.32,88,20,5.75,few clouds
171,Nago,JP,26.5881,127.9761,75.45,81,7,5.68,clear sky
172,Norsup,VU,-16.0667,167.3833,77.52,77,6,0.76,clear sky
